entity,start,end,score,verdict,confidence,reason,is_tp
machine-1-1,12432,12599,0.20268151986723146,ANOMALY,HIGH,Channel relationships break down with isolated spikes in Ch22 not present in the normal pattern.,False
machine-1-1,13664,13999,0.21150873174580434,ANOMALY,HIGH,Channel relationships break down with Ch22 showing isolated spikes not present in the normal pattern.,False
machine-1-1,15120,15343,0.20521199598442763,ANOMALY,HIGH,Channel 22 shows sudden isolated drops not present in the normal pattern.,False
machine-1-1,16128,16463,0.21156994439661503,ANOMALY,HIGH,"Channel 22 shows sudden isolated drops not present in the normal pattern, disrupting co-variation.",True
machine-1-1,17192,17695,0.22385433435233104,ANOMALY,HIGH,Channel relationships in the right panel show significant divergence and isolated spikes not present in the left panel.,True
machine-1-1,18312,18591,0.21881367908790708,ANOMALY,HIGH,Channel Ch22 shows sudden isolated drops not present in the normal pattern.,True
machine-1-1,19936,20215,0.21174687724560498,ANOMALY,HIGH,The candidate panel shows significant divergence in channel relationships and isolated spikes not present in the normal ,True
machine-1-1,21056,21279,0.2059813520172611,ANOMALY,HIGH,Channel relationships in the right panel show significant divergence and isolated spikes not present in the left panel.,True
machine-1-1,22176,22343,0.20187472753847638,ANOMALY,HIGH,Channel relationships break down with Ch22 showing isolated spikes not present in the normal pattern.,False
machine-1-1,23688,23967,0.20465210042893886,ANOMALY,HIGH,Channel relationships break down with isolated spikes in Ch22 not present in normal data.,False
machine-1-1,25088,25255,0.2044425696755449,ANOMALY,HIGH,Channel relationships in the right panel show significant divergence and isolated spikes not present in the left panel.,False
machine-1-2,4536,4759,0.17483112745685503,ANOMALY,HIGH,Channel relationships break down with isolated spikes and structural changes in the candidate panel.,True
machine-1-2,5824,6047,0.17540670005837455,ANOMALY,HIGH,Channel relationships break down with isolated spikes and chaotic patterns in the right panel.,True
machine-1-2,6272,6775,0.17368294883312452,ANOMALY,HIGH,Channel relationships in the right panel show significant divergence and chaotic patterns not present in the left panel.,False
machine-1-2,12488,12935,0.17260581254959106,NORMAL,HIGH,Channel relationships and overall pattern structure appear consistent between panels.,False
machine-1-2,15512,15623,0.17068139743059874,ANOMALY,HIGH,Channel relationships break down with isolated spikes and chaotic patterns in the right panel.,True
machine-1-2,15848,16015,0.1786863556286941,ANOMALY,HIGH,Channel relationships break down with significant divergence and isolated spikes in the candidate panel.,True
machine-1-2,18704,18927,0.17232984345173463,NORMAL,HIGH,The channel relationships and overall pattern structure in the right panel are consistent with the left panel.,True
machine-1-2,20160,20383,0.1732227064203471,NORMAL,HIGH,Channel relationships and overall pattern structure in the right panel are consistent with the left panel.,True
machine-1-2,21784,22343,0.17557834723033067,NORMAL,HIGH,The channel relationships and overall pattern structure in the right panel closely resemble those in the left panel.,True
machine-1-5,10528,10695,0.18466512486338615,ANOMALY,HIGH,Channel relationships break down with a sudden spike in Ch5 not present in the normal pattern.,True
machine-1-5,11760,11815,0.1803329933900386,NORMAL,HIGH,The channel relationships and overall pattern structure in the right panel are consistent with the left panel.,True
machine-1-5,12656,12935,0.20772654614411296,ANOMALY,HIGH,Channel relationships break down with Ch5 and Ch13 diverging significantly in the right panel.,True
machine-1-5,14000,14223,0.18593828694429249,NORMAL,HIGH,The channel relationships and overall pattern structure in the right panel are consistent with the left panel.,True
machine-1-5,14336,14727,0.2001971762427794,ANOMALY,HIGH,Channel relationships diverge with Ch5 and Ch15 showing different patterns and isolated spikes in Ch15 not present in th,True
machine-1-5,21168,21503,0.1915799284276242,ANOMALY,HIGH,Channel relationships in the right panel diverge significantly with isolated spikes and structural changes not present i,True
machine-1-5,22008,22175,0.1840368479024619,ANOMALY,HIGH,The candidate panel shows a breakdown in channel relationships with chaotic patterns and divergence not present in the n,True
