pass,entity,start,end,length,csc,pct,prior,cal_mean,cand_vlm,diff,threshold,temporal_ctx,verdict,keep,is_tp,flag,dominant_change,reason
1,machine-1-1,168,335,168,0.1900018007339289,82.77227722772277,MOD,1.0,5.0,4.0,2.5,isolated,ANOMALY,True,False,FP,increased amplitude and variability,"The candidate shows noticeably different patterns with increased amplitude compared to baselines, and it is an isolated "
1,machine-1-1,3808,3975,168,0.1872698599472642,80.19801980198021,LOW,1.6666666666666667,6.0,4.333333333333333,3.5,isolated,ANOMALY,True,False,FP,noticeable spike in activity levels,"The candidate panel shows a noticeable spike in activity levels compared to baselines, indicating an anomaly; it is isol"
1,machine-1-1,6664,6887,224,0.1880457599181682,81.38613861386138,LOW,1.6666666666666667,5.0,3.333333333333333,3.5,in_cluster,NORMAL,False,False,FP,elevated activity level with noticeable spikes,"The candidate shows noticeably elevated activity compared to baselines, and it is part of a cluster of anomalies, indica"
1,machine-1-1,12208,12655,448,0.1968320919550024,87.92079207920793,MOD,1.6666666666666667,7.0,5.333333333333333,2.5,in_cluster,ANOMALY,True,False,FP,increased variability and upward trend in all channels,"The candidate shows a clear structural pattern change with increased variability, indicating an anomaly, and is part of "
1,machine-1-1,13608,14055,448,0.20750298612983897,95.44554455445544,HIGH,2.6666666666666665,8.0,5.333333333333334,0.0,in_cluster,ANOMALY,True,False,FP,sustained elevation and increased variability in all channels,"The candidate shows a clear structural pattern change with elevated scores across channels, and it is part of a cluster "
1,machine-1-1,15008,15511,504,0.1987810129713681,89.3069306930693,MOD,2.0,7.0,5.0,2.5,in_cluster,ANOMALY,True,False,FP,increased variability and elevated levels across channels,"The candidate panel shows a clear structural pattern change with increased variability, indicating a significant anomaly"
1,machine-1-1,16072,16519,448,0.20702707773307338,95.24752475247524,HIGH,1.6666666666666667,8.0,6.333333333333333,0.0,in_cluster,ANOMALY,True,True,TP,significant increase in amplitude and variability across all channels,"The candidate shows a clear structural pattern change with increased amplitude and variability, indicating a significant"
1,machine-1-1,16912,16967,56,0.18927669199183583,81.98019801980197,LOW,1.6666666666666667,5.0,3.333333333333333,4.5,in_cluster,NORMAL,False,True,TP,increased amplitude in Ch0,"The candidate shows noticeably elevated activity in Ch0 compared to baselines, and it is part of a cluster of anomalies "
1,machine-1-1,17192,17695,504,0.22385433435233104,99.00990099009901,HIGH,2.6666666666666665,8.0,5.333333333333334,0.0,in_cluster,ANOMALY,True,True,TP,sharp increase in all channels with sustained high levels,"The candidate panel shows a clear structural change with a sharp increase in all channels, indicating a significant anom"
1,machine-1-1,17864,18087,224,0.18770975980442017,80.79207920792079,LOW,2.6666666666666665,6.0,3.3333333333333335,5.5,post_peak_plateau,NORMAL,False,True,TP,elevated activity in Ch0 with a sharp increase towards the end,"The candidate shows noticeably different patterns with a sharp increase in Ch0, indicating elevated activity, and it occ"
1,machine-1-1,18256,18647,392,0.21223680369023765,96.83168316831683,HIGH,1.6666666666666667,8.0,6.333333333333333,3.5,post_peak_plateau,ANOMALY,True,True,TP,"sustained increase in all channels, especially Ch0","The candidate shows a clear structural change with sustained high values, indicating an anomaly, and it occurs after the"
1,machine-1-1,19656,20271,616,0.20247541478073056,92.67326732673268,HIGH,1.3333333333333333,7.0,5.666666666666667,3.5,post_peak_plateau,ANOMALY,True,True,TP,"sustained elevation in all channels, especially Ch0","The candidate shows a clear structural change with elevated scores across channels, indicating an anomaly, and it occurs"
1,machine-1-1,20944,21391,448,0.19882525503635406,89.3069306930693,MOD,2.6666666666666665,6.0,3.3333333333333335,4.5,post_peak_plateau,NORMAL,False,True,TP,elevated activity levels in multiple channels,"The candidate shows noticeably elevated activity compared to baselines, indicating a change in operational state, and it"
1,machine-1-1,22120,22511,392,0.19810168777725526,88.51485148514851,MOD,2.0,7.0,5.0,4.5,post_peak_plateau,ANOMALY,True,False,FP,sustained elevated activity across multiple channels,"The candidate shows a clear structural pattern change with sustained elevated activity, and it occurs after the main sco"
