pass,entity,start,end,length,csc,pct,prior,n_close,verdict,conf,keep,is_tp,flag,norm_s,anom_s,reason,challenge
1,machine-1-1,168,335,168,0.1900018007339289,82.77227722772277,MOD,0,NORMAL,1,False,False,FP,moderate,moderate,Score is elevated but visual evidence shows only moderate deviation consistent with natural variation.,True
1,machine-1-1,3808,3975,168,0.1872698599472642,80.19801980198021,LOW,0,NORMAL,1,False,False,FP,moderate,moderate,Score is modestly elevated but visual evidence is ambiguous and consistent with baseline variation.,False
1,machine-1-1,6664,6887,224,0.1880457599181682,81.38613861386138,LOW,0,NORMAL,2,False,False,FP,moderate,weak,Score is modestly elevated but visual evidence does not strongly deviate from baselines.,False
1,machine-1-1,12208,12655,448,0.1968320919550024,87.92079207920793,MOD,0,NORMAL,1,True,False,FP,moderate,moderate,Score is elevated but visual evidence shows changes consistent with natural variation.,True
1,machine-1-1,13608,14055,448,0.20750298612983897,95.44554455445544,HIGH,0,ANOMALY,3,True,False,FP,weak,strong,"Score is 95th percentile with clear visual deviation from baselines, indicating strong anomaly.",False
1,machine-1-1,15008,15511,504,0.1987810129713681,89.3069306930693,MOD,0,ANOMALY,3,True,False,FP,moderate,strong,Score is elevated with strong visual evidence of divergence across channels.,False
1,machine-1-1,16072,16519,448,0.20702707773307338,95.24752475247524,HIGH,0,ANOMALY,3,True,True,TP,weak,strong,"Score is 1.23x baseline with clear visual deviation in all channels, indicating anomaly.",False
1,machine-1-1,16912,16967,56,0.18927669199183583,81.98019801980197,LOW,1,NORMAL,1,False,True,TP,moderate,moderate,Score is modestly elevated but within natural variance; visual evidence is ambiguous.,False
1,machine-1-1,17192,17695,504,0.22385433435233104,99.00990099009901,HIGH,2,ANOMALY,3,True,True,TP,weak,strong,Score is in the 99th percentile with clear visual evidence of level shifts and divergence across channels.,False
1,machine-1-1,17864,18087,224,0.18770975980442017,80.79207920792079,LOW,2,ANOMALY,3,True,True,TP,moderate,strong,"Score is modestly elevated, but Ch0 shows a clear level shift not present in baselines.",False
1,machine-1-1,18256,18647,392,0.21223680369023765,96.83168316831683,HIGH,1,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear visual evidence of channel shifts support anomaly.,False
1,machine-1-1,19656,20271,616,0.20247541478073056,92.67326732673268,HIGH,0,ANOMALY,3,True,True,TP,weak,strong,High score and clear visual evidence of level shift in Ch0 support anomaly.,False
1,machine-1-1,20944,21391,448,0.19882525503635406,89.3069306930693,MOD,0,NORMAL,1,True,True,TP,moderate,moderate,"Score is elevated but visual evidence shows only moderate deviation, not clearly stronger than normal variation.",True
1,machine-1-1,22120,22511,392,0.19810168777725526,88.51485148514851,MOD,0,ANOMALY,3,True,False,FP,moderate,strong,Score is elevated at 89th percentile with strong visual evidence of divergence across channels.,False
1,machine-1-1,23632,24079,448,0.20100796251790598,91.68316831683168,MOD,0,ANOMALY,3,True,False,FP,moderate,strong,"Score is elevated with a clear amplitude spike in all channels, absent in baselines.",False
1,machine-1-1,24976,25311,336,0.19904464211625358,89.3069306930693,MOD,0,ANOMALY,3,True,False,FP,moderate,strong,Score is elevated at 89th percentile with strong visual evidence of level shift in Ch0.,False
1,machine-1-1,26488,26823,336,0.19060888793319464,82.97029702970296,MOD,0,NORMAL,1,True,False,FP,moderate,moderate,Score is elevated but visual evidence shows moderate deviations consistent with natural variation.,True
